objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment
"Panamax","131287","0","","0","1","1","0","0","0","0","0","0","","","","","","","29895777","6.93587","7.52504","3.7127","359","3080","thing","Panamax","2","4","100","100","100","2014","3,4","4","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Pandemic","30549","6.5","","0","1","0","0","0","0","0","0","0","","","","","","","10936331","7.58695","7.66533","2.4379","49","68251","thing","Pandemic","2","4","90","90","30","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Pandemic Legacy: Season 1","161936","0","","0","1","0","0","0","0","0","0","0","","","","","","","31167104","8.32271","8.6263","2.8155","1","12491","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Pandemic: On the Brink","40849","6","","0","1","0","0","0","0","0","0","0","","","","","","","10936335","7.90767","8.11884","2.6409","0","25643","thing","Pandemic: On the Brink","2","5","45","45","45","2009","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Pandemic: The Cure","150658","0","","0","1","0","0","0","0","0","0","0","","","","","","","26208508","7.12248","7.46153","2.0732","219","5995","thing","Pandemic: The Cure","2","5","30","30","30","2014","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Panzer (second edition)","85769","0","","0","0","0","0","0","0","1","0","0","","","Includes first two expansions.","","","","18434776","5.99637","7.84556","3.6667","1873","759","thing","Panzer (second edition)","2","4","0","0","0","2012","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Panzer General: Allied Assault","55679","6","","0","1","1","0","0","0","0","0","0","","","Takes way too long to set up","","","","10936422","5.72116","6.4452","2.449","3400","842","thing","Panzer General: Allied Assault","1","2","60","60","60","2010","1,2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Patchistory","144041","0","","0","1","0","0","0","0","0","0","0","","","","","","","27426387","6.70486","7.46622","3.7197","549","2053","thing","Patchistory","2","4","120","120","60","2013","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","133038","0","","0","1","1","0","0","0","0","0","0","","","","","","","20176776","7.23992","7.46265","2.7136","158","12623","thing","Pathfinder Adventure Card Game: Rise of the Runelords – Base Set","1","4","90","90","90","2013","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Paths of Glory","91","0","","0","1","0","0","0","0","0","0","0","","","","","","","15041593","7.54238","8.02097","3.7926","63","5886","thing","Paths of Glory","2","2","480","480","480","1999","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Peloponnes","42910","0","","0","1","0","0","0","0","0","0","0","","","","","","","32252550","6.75948","7.20847","2.393","491","2084","thing","Peloponnes","1","5","45","45","45","2009","1,2,3,4,5","3,4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Phantom Fury","91010","0","","0","0","0","1","1","0","0","0","1","1","","","","","","31670441","5.70453","7.46505","2.9474","3587","353","thing","Phantom Fury","1","1","240","240","240","2011","1","1","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"The Phantom League","75782","0","","0","0","0","0","0","0","0","0","1","4","","","","","","26183397","5.76072","6.57523","3.2162","3079","514","thing","The Phantom League","2","6","90","90","90","2010","4,5,6","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Picket Duty: Kamikaze Attacks against U.S. Destroyers – Okinawa, 1945","44890","0","","0","0","0","0","0","0","0","0","0","","","","","","","22053642","5.58132","6.6931","2.6429","5911","273","thing","Picket Duty: Kamikaze Attacks against U.S. Destroyers – Okinawa, 1945","1","0","0","0","0","2013","","","","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"The Pillars of the Earth","24480","7","","0","1","0","0","0","0","0","0","0","","","Good resource gathering and allocation game.  It is short on variety though.  I can see where an expansion would be needed.","","","","11455826","7.18866","7.31971","2.8323","187","13019","thing","The Pillars of the Earth","2","4","120","120","90","2006","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Pirateer","386","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725534","5.45393","5.46213","1.5","11031","1699","thing","Pirateer","2","4","15","15","15","1978","2,4","4","6+","No necessary in-game text","","","",,"","","","","","","","",""
"Planet Steam","23094","0","","0","1","1","0","0","0","0","0","0","","","","","","","20176805","6.78936","7.31008","3.7356","462","3247","thing","Planet Steam","2","5","120","120","120","2013","2,3,4,5","4","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Police Precinct","118536","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603797","6.30268","7.00867","2.5333","1099","1741","thing","Police Precinct","1","6","90","90","90","2013","1,2,3,4,5,6","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Polis: Fight for the Hegemony","69779","0","","0","1","0","0","0","0","0","0","0","","","","","","","18296023","6.94586","7.90101","3.5959","348","2292","thing","Polis: Fight for the Hegemony","2","2","120","120","90","2012","2","2","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Posthuman","171835","0","","0","1","0","0","0","0","0","0","0","","","","","","","31880174","5.97636","7.16407","3.1429","1950","1535","thing","Posthuman","1","4","180","180","120","2015","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Prime Time","166640","0","","0","0","0","1","0","0","0","0","1","2","","","","","","33797192","5.61875","6.35533","3.6667","4870","356","thing","Prime Time","2","4","120","120","90","2015","3,4","3","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Progress: Evolution of Technology","140717","0","","0","1","1","0","0","0","0","0","0","","","","","","","27141141","6.22672","6.72247","2.4302","1252","1853","thing","Progress: Evolution of Technology","1","5","90","90","90","2014","1,2,3,4","3","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Quantum","143519","0","","0","1","0","0","0","0","0","0","0","","","","","","","28912800","6.99736","7.38298","2.4318","308","4111","thing","Quantum","2","4","60","60","60","2013","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Quarantine","109764","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603774","5.87754","6.26765","2.125","2354","1226","thing","Quarantine","2","4","60","60","60","2013","3,4","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Quarriors!","91536","0","","0","1","0","0","0","0","0","0","0","","","","","","","20453528","6.73557","6.8645","1.9594","511","13542","thing","Quarriors!","2","4","30","30","30","2011","2,3,4","","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Race for the Galaxy","28143","7","","0","1","0","0","0","0","0","0","0","","","","","","","10936382","7.7073","7.78719","2.9675","30","35886","thing","Race for the Galaxy","2","4","60","60","30","2007","2,3,4","2,4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Race for the Galaxy: Rebel vs Imperium","40210","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","10936386","7.60941","7.96436","3.0616","0","10508","thing","Race for the Galaxy: Rebel vs Imperium","1","6","60","60","60","2009","1,2,3,4,5,6","2,4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Race for the Galaxy: The Brink of War","66121","0","","0","1","0","0","0","0","0","0","0","","","","","","","11878953","7.29327","7.80526","3.3314","0","6873","thing","Race for the Galaxy: The Brink of War","1","6","60","60","60","2010","1,2,3,4,5,6","2,4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Race for the Galaxy: The Gathering Storm","34499","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","10936396","7.83998","8.08562","2.9731","0","15967","thing","Race for the Galaxy: The Gathering Storm","1","5","60","60","60","2008","1,2,3,4,5","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"RAF: The Battle of Britain 1940","40209","0","","0","1","0","0","0","0","0","0","0","","","","","","","20022239","6.46558","7.95316","3.2771","838","1440","thing","RAF: The Battle of Britain 1940","1","2","300","300","300","2009","1,2","1","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Raiders of the North Sea","170042","0","","0","0","0","1","0","0","0","0","1","2","","","","","","32891062","6.47909","7.94049","2.5811","819","1086","thing","Raiders of the North Sea","2","4","80","80","60","2015","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Rebel Raiders on the High Seas","38805","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603802","5.73797","7.25542","2.5806","3254","451","thing","Rebel Raiders on the High Seas","2","2","360","360","360","2013","1,2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Red November","36946","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603889","6.25963","6.37437","2.062","1188","8768","thing","Red November","3","8","120","120","60","2008","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Renegade","170604","0","","0","0","0","1","0","0","0","0","1","3","","","","","","27638376","0","10","0","0","4","thing","Renegade","1","4","90","90","30","2016","","","","","","","",,"","","","","","","","",""
"Resident Evil Deck Building Game","79073","0","","0","1","0","0","0","0","0","0","0","","","","","","","28545630","6.11094","6.5517","2.2843","1542","2231","thing","Resident Evil Deck Building Game","1","4","30","30","30","2010","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Resident Evil Deck Building Game: Alliance","91773","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128212","5.9411","6.84074","2.3704","2105","1148","thing","Resident Evil Deck Building Game: Alliance","1","4","45","45","45","2011","1,2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Resident Evil Deck Building Game: Nightmare","111330","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128215","5.83128","7.25202","2.6923","0","724","thing","Resident Evil Deck Building Game: Nightmare","1","4","45","45","45","2011","1,2,3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Rise of the Zombies!","126025","0","","0","1","1","0","0","0","0","0","0","","","","","","","24725421","5.64244","6.53491","1.9091","4407","278","thing","Rise of the Zombies!","1","8","60","60","60","2013","1,2,3,4,5,6,8","1,2,3,8","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Rivet Wars: Eastern Front","136000","0","","0","1","0","0","0","0","0","0","0","","","","","","","28462859","6.1178","7.37083","2.4878","1520","1250","thing","Rivet Wars: Eastern Front","2","2","30","30","30","2013","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Roads & Boats","875","0","","0","0","0","1","0","0","0","0","1","2","","","","","","28811850","7.19487","7.74605","4.183","182","3224","thing","Roads & Boats","1","4","240","240","240","1999","1,2,3,4","2","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Robinson Crusoe: Adventures on the Cursed Island","121921","0","","0","1","0","0","0","0","0","0","0","","","","","","","20022205","7.8635","8.04994","3.6476","17","18875","thing","Robinson Crusoe: Adventures on the Cursed Island","1","4","180","180","90","2012","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Robo Rally","18","0","","0","1","0","0","0","0","0","0","0","","","","","","","31429555","7.08685","7.18726","2.4361","245","20336","thing","Robo Rally","2","8","120","120","20","1994","3,4,5,6,7,8","5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Robot Turtles","147370","0","","0","1","0","0","0","0","0","0","0","","","","","","","21554383","5.85213","6.45038","1.375","2493","1644","thing","Robot Turtles","2","5","15","15","15","2013","1,2,3,4,5","4","3–12","No necessary in-game text","","","",,"","","","","","","","",""
"Roll for the Galaxy","132531","0","","0","1","0","0","0","0","0","0","0","","","","","","","28205406","7.69101","7.91041","2.7254","35","10691","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Roll Through the Ages: The Bronze Age","37380","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128311","6.82143","6.93262","1.7834","439","10253","thing","Roll Through the Ages: The Bronze Age","1","4","45","45","30","2008","1,2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Romolo o Remo?","139147","0","","0","1","0","0","0","0","0","0","0","","","","","","","27638431","5.91912","7.19363","3.7429","2188","630","thing","Romolo o Remo?","1","4","150","150","150","2013","2,3,4","2,4","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Rune Age","94362","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128534","6.58944","6.8847","2.2844","669","4785","thing","Rune Age","1","4","60","60","60","2011","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Runebound (Second Edition)","21523","6.1","","0","1","0","0","0","0","0","0","0","","","","","","","11878917","6.71582","6.92143","2.678","537","8702","thing","Runebound (Second Edition)","1","6","240","240","120","2005","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Runebound: The Island of Dread","13081","6.3","","0","1","0","0","0","0","0","0","0","","","","","","","11878918","6.31277","7.18598","2.6164","0","2180","thing","Runebound: The Island of Dread","2","6","120","120","120","2005","2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Runewars","59294","8","","0","1","0","0","0","0","0","0","0","","","","","","","12227977","7.42765","7.73996","3.7433","91","7457","thing","Runewars","2","4","180","180","180","2010","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Secret Weapons of the Third Reich","168792","0","","0","0","0","0","0","1","0","0","0","","","","","","","25897975","0","6","0","0","22","thing","Secret Weapons of the Third Reich","1","4","180","180","120","2015","3,4","4","","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Secrets of the Lost Tomb","150484","8","","0","1","0","0","0","0","0","0","0","","","","","","","30340169","5.75051","7.82121","3.2581","3162","395","thing","Secrets of the Lost Tomb","1","6","60","60","60","2015","1,2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Sentinel Tactics: The Flame of Freedom","146408","0","","0","1","0","0","0","0","0","0","0","","","","","","","26208480","6.14205","7.20626","2.5","1467","1513","thing","Sentinel Tactics: The Flame of Freedom","2","8","45","45","45","2014","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Sentinels of the Multiverse","102652","0","","0","1","0","0","0","0","0","0","0","","","","","","","20022210","7.21145","7.40771","2.4975","174","13251","thing","Sentinels of the Multiverse","1","5","60","60","30","2011","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Sergeants Miniatures Game: Day of Days","101929","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350820","5.91145","7.70762","2.6047","2220","349","thing","Sergeants Miniatures Game: Day of Days","2","6","0","0","0","2011","2,3,4,5,6","2,4,6","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Sergeants Miniatures Game: La Fière Bridge","133683","0","","0","1","0","0","0","0","0","0","0","","","","","","","20022289","0","8.05556","2.5","0","82","thing","Sergeants Miniatures Game: La Fière Bridge","2","6","120","120","120","2012","","","","","","","",,"","","","","","","","",""
"Sergeants Miniatures Game: Road to Carentan","113667","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350821","5.67012","8.22963","2.6","0","172","thing","Sergeants Miniatures Game: Road to Carentan","2","6","120","120","120","2011","","","","","","","",,"","","","","","","","",""
"Shadowrift","112092","0","","0","0","0","1","0","0","0","0","1","2","","","","","","33604551","6.17069","7.13731","2.6727","1399","988","thing","Shadowrift","1","6","120","120","45","2012","2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Shadowrun: Crossfire","135382","0","","0","1","1","0","0","0","0","0","0","","","","","","","27885697","6.72899","7.32739","2.7899","520","3035","thing","Shadowrun: Crossfire","1","4","60","60","30","2014","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Shadows of Brimstone: City of the Ancients","146791","0","","0","1","0","0","0","0","0","0","0","","","","","","","26054596","7.06527","8.09343","3.4109","261","3160","thing","Shadows of Brimstone: City of the Ancients","1","4","120","120","120","2014","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Shadows of Brimstone: Swamps of Death","150997","0","","0","1","0","0","0","0","0","0","0","","","","","","","26054599","6.91127","8.1997","3.4769","374","2800","thing","Shadows of Brimstone: Swamps of Death","1","4","60","60","60","2014","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Sherlock Holmes Consulting Detective","2511","0","","0","1","0","0","0","0","0","0","0","","","","","","","18456506","7.55279","7.83817","2.7666","58","12494","thing","Sherlock Holmes Consulting Detective","1","8","120","120","60","1981","1,2,3,4,5,6","2","12+","Unplayable in another language","","","",,"","","","","","","","",""
"Shipyard","55600","6.5","","0","1","0","0","0","0","0","0","0","","","","","","","13478599","6.94911","7.37091","3.4822","344","3147","thing","Shipyard","2","4","120","120","120","2009","2,3,4","","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Sid Meier's Civilization: The Board Game","77130","7.6","","0","1","0","0","0","0","0","0","0","","","","","","","11878888","7.36483","7.54856","3.8348","108","12959","thing","Sid Meier's Civilization: The Board Game","2","4","180","180","180","2010","2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Sid Meier's Civilization: The Boardgame","3633","4.5","","0","1","0","0","0","0","0","0","0","","","","","","","10936230","5.49401","5.59186","3.6406","9934","3570","thing","Sid Meier's Civilization: The Boardgame","2","6","180","180","180","2002","3,4,5,6","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Skyline","121423","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725552","5.83364","6.07374","1.2981","2594","1550","thing","Skyline","1","4","20","20","10","2012","1,2,3,4","2,3","6+","No necessary in-game text","","","",,"","","","","","","","",""
"Slapshot","1705","0","","0","1","0","0","0","0","0","0","0","","","","","","","33284904","5.93103","6.34738","1.3302","2150","1284","thing","Slapshot","2","10","30","30","30","1982","4,5,6,7,8,9,10","7,8","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Small World","40692","0","","0","1","0","0","0","0","0","0","0","","","","","","","16150513","7.32289","7.3966","2.3748","126","44526","thing","Small World","2","5","80","80","40","2009","2,3,4,5","4","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Small World Realms","122316","0","","0","1","0","0","0","0","0","0","0","","","","","","","21355386","6.63478","7.41656","2.4615","0","4881","thing","Small World Realms","2","6","80","80","40","2012","2,3,4,5,6","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Small World Underground","97786","0","","0","1","0","0","0","0","0","0","0","","","","","","","21355383","7.17028","7.42316","2.6032","197","9456","thing","Small World Underground","2","5","90","90","30","2011","2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Smash Up","122522","0","","0","1","1","0","0","0","0","0","0","","","","","","","21549760","6.80405","6.94443","2.0252","453","19375","thing","Smash Up","2","4","45","45","45","2012","2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Smash Up: Awesome Level 9000","134726","0","","0","1","1","0","0","0","0","0","0","","","","","","","28811965","7.07627","7.43667","2.1218","251","10415","thing","Smash Up: Awesome Level 9000","2","4","45","45","45","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Smash Up: The Obligatory Cthulhu Set","143185","0","","0","0","1","0","0","0","0","0","0","","","","","","","28811973","6.51051","6.9373","2.1806","778","6047","thing","Smash Up: The Obligatory Cthulhu Set","2","4","45","45","30","2013","2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Space Cadets: Away Missions","124827","0","","0","1","0","0","0","0","0","0","0","","","","","","","31167067","6.04279","7.65855","2.5455","1728","795","thing","Space Cadets: Away Missions","1","6","90","90","90","2015","1,2,3,4,5,6","2,3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Space Empires: 4X","84419","8.2","","0","1","0","0","0","0","0","0","0","","","","","","","13834931","6.9421","7.57791","3.2915","353","3605","thing","Space Empires: 4X","1","4","180","180","180","2011","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Space Hulk (fourth edition)","165838","0","","0","1","1","0","0","0","0","0","0","","","","","","","27885730","6.65336","8.10178","2.7231","592","2219","thing","Space Hulk (fourth edition)","2","2","60","60","60","2014","1,2","2","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Space Hulk: Death Angel – The Card Game","71721","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885470","6.80581","6.97034","2.4006","450","14321","thing","Space Hulk: Death Angel – The Card Game","1","6","30","30","30","2010","1,2,3,4,5,6","1","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Space Infantry","66781","6","","0","0","0","0","0","0","1","0","0","","","Very few choices.  Highly luck dependent.  Odds stacked against you.","","","","17128367","5.85456","6.95859","2.1667","2479","695","thing","Space Infantry","1","1","20","20","20","2010","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Spearpoint 1943","56320","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350831","5.7779","6.93941","1.9063","2947","470","thing","Spearpoint 1943","2","2","30","30","30","2010","2","2","","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Spearpoint 1943: Village and Defensive Line Map Expansion","85978","0","","0","1","0","0","0","0","0","0","0","","","","","","","16350824","5.59312","7.75882","2.3","0","146","thing","Spearpoint 1943: Village and Defensive Line Map Expansion","2","2","30","30","30","2012","1,2","2","","","","","",,"","","","","","","","",""
"Spike","165876","0","","0","1","0","0","0","0","0","0","0","","","","","","","27141142","5.84922","6.78586","2.4828","2511","418","thing","Spike","2","4","60","60","60","2014","2,3,4","4","","No necessary in-game text","","","",,"","","","","","","","",""
"Star Borders: Aliens","146006","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549835","0","7.9375","3","0","71","thing","Star Borders: Aliens","2","2","0","0","0","2013","2","2","","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Star Borders: Humanity","86406","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549829","5.66712","7.15805","2.0476","4055","216","thing","Star Borders: Humanity","2","2","30","30","30","2010","2","2","","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Star Trek: Fleet Captains","79127","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885024","7.0676","7.62118","3.039","257","3958","thing","Star Trek: Fleet Captains","2","4","75","75","75","2011","2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Star Wars Customizable Card Game","1270","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885834","6.21436","6.58441","3.0489","1284","2937","thing","Star Wars Customizable Card Game","2","2","60","60","60","1995","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Star Wars:  Escape From Death Star Game","4845","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725547","5.23623","4.73661","1.1515","11928","774","thing","Star Wars:  Escape From Death Star Game","2","4","20","20","20","1977","2,3,4","2","5+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Star Wars: Imperial Assault","164153","0","","0","1","0","0","0","0","0","0","0","","","","","","","26132339","7.94259","8.3063","3.2694","11","12589","thing","Star Wars: Imperial Assault","2","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Star Wars: The Card Game","103886","0","","0","1","0","0","0","0","0","0","0","","","","","","","17829380","7.07276","7.46588","2.9046","254","6918","thing","Star Wars: The Card Game","2","2","60","60","60","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Star Wars: X-Wing Miniatures Game","103885","0","","0","1","0","0","0","0","0","0","0","","","","","","","21549751","7.70576","7.90998","2.4627","32","22936","thing","Star Wars: X-Wing Miniatures Game","2","4","45","45","30","2012","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Star Wars: Yoda the Jedi Master","6716","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725543","0","4.18","1","0","69","thing","Star Wars: Yoda the Jedi Master","2","4","20","20","20","1981","2,3,4","4","5–12","","","","",,"","","","","","","","",""
"StarCraft: The Board Game","22827","7.4","","0","1","0","0","0","0","0","0","0","","","","","","","13478564","7.06569","7.3407","3.8133","260","6674","thing","StarCraft: The Board Game","2","6","180","180","180","2007","2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"StarCraft: The Board Game – Brood War Expansion","38796","7.6","","0","1","0","0","0","0","0","0","0","","","","","","","13478566","7.12013","8.20512","3.8224","0","3250","thing","StarCraft: The Board Game – Brood War Expansion","2","6","180","180","180","2008","2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Steel Wolves: The German Submarine Campaign Against Allied Shipping – Vol 1","22359","7.1","","0","1","0","0","0","0","0","0","0","","","","","","","13478551","5.87756","7.81159","3.9804","2353","740","thing","Steel Wolves: The German Submarine Campaign Against Allied Shipping – Vol 1","1","1","3000","3000","3000","2010","1","1","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Stockpile","161614","0","","0","1","0","0","0","0","0","0","0","","","","","","","33719976","6.56866","7.70462","2.0854","699","1213","thing","Stockpile","2","5","45","45","45","2015","2,3,4,5","4,5","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Stone & Relic","132407","0","","0","1","0","0","0","0","0","0","0","","","","","","","19777914","5.62499","6.51085","2","4751","429","thing","Stone & Relic","2","4","30","30","30","2013","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Storm the Castle!","101988","0","","0","1","1","0","0","0","0","0","0","","","","","","","27238954","5.46032","5.17067","3.4444","10913","512","thing","Storm the Castle!","1","4","90","90","90","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Stronghold","45986","0","","0","1","0","0","0","0","0","0","0","","","","","","","19777862","6.95201","7.33337","3.6655","340","4732","thing","Stronghold","2","4","120","120","120","2009","2,3,4","2","14+","No necessary in-game text","","","",,"","","","","","","","",""
